"Ativo","Data","roic","roe","roa","margem_liquida","margem_ebit","divida_liquida_ebitda","receita_liquida","ebit","deprec","deprec2","deprec3","deprec4","lucro_liquido","ativo_total","passivo_circulante","total_emprestimos_e_financiamentos","caixa_e_equivalentes","aplicacoes_financeiras","patrimonio_liquido","participacao_nao_controladora_acionistas","total_emprestimos_e_financiamentos_lp","capital_investido","ebitda","divida_bruta","divida_liquida"
"WEGE3<XBSP>","1T2004",18.550463032,34.572274097,16.307423601,18.747451869,20.09580974,"-",1766000,354892,"-","-","-","-",330825,2030241,673609000,348141,"-","-",956930,716,278823,1262657,"-",626964,184848000
"WEGE3<XBSP>","2T2004",20.248381978,37.782488134,15.72954398,19.478479988,21.553647828,"-",1896954.9935,408862.99875,"-","-","-","-",369277.99878,2349070,948181000,507510,"-","-",977253,708,297701,1332697,"-",805211,229509000
"WEGE3<XBSP>","3T2004",20.933999559,34.054164399,16.372013501,19.110749999,21.233853687,"-",2059060.9966,437217.99933,"-","-","-","-",393211.99938,2403504,863234000,484325,"-","-",1154721,797,254645,1378446,"-",738970,92821000
"WEGE3<XBSP>","4T2004",20.216767464,34.658135239,16.300459557,18.289384719,19.535828217,0.26616131659,2203710,430513,66832,"-","-","-",402654,2472599,832848000,426439,"-","-",1162002,914,366665,1405460,497345,793104,132374000
"WEGE3<XBSP>","1T2005",19.595431401,32.390834483,15.412430004,17.535203918,19.227675714,"-",2317498.0034,445601.00076,"-","-","-","-",405901.00069,2636690,880944000,544616,"-","-",1253517,1091,388498,1500843,"-",933114,133595000
"WEGE3<XBSP>","2T2005",19.157603118,30.063429329,13.471863884,15.611468026,15.684302675,"-",2434281,381800,"-","-","-","-",379504,2820894,1102398000,651108,"-","-",1263042,1042,342786,1315342,"-",993894,-60368000
"WEGE3<XBSP>","3T2005",15.657934001,27.53276218,12.730351197,15.000887533,14.616517124,"-",2490046,363958,"-","-","-","-",373086,2934161,1035458000,655176,"-","-",1355552,1119,422716,1534125,"-",1077892,58138000
"WEGE3<XBSP>","4T2005",17.785219595,27.329294837,11.335120776,14.912593224,15.994382299,-0.0029228202807,2514908,402244,95905,95905,"-","-",374812,3308637,1415506000,949153,"-","-",1371463,830,398969,1492706,498149,1348122,-1456000
"WEGE3<XBSP>","1T2006",16.438218803,26.582047758,11.74312813,15.149365304,14.87901268,"-",2599198,386735,"-","-","-","-",393663,3353127,1360521000,909438,"-","-",1480415,893,382353,1552754,"-",1291791,-57499000
"WEGE3<XBSP>","2T2006",20.041552223,30.694970873,12.414087554,16.221787461,16.340875847,"-",2677843,437583,"-","-","-","-",434314,3499202,1545074000,982109,"-","-",1414339,857,416021,1441030,"-",1398130,-97077000.002
